BudgetMonth,StoreKey,ChannelKey,Category,BudgetUnits,BudgetSales,BudgetGrossProfit,TargetMarginPct,Scenario,BudgetOwner,FiscalYear,FiscalQuarter,Year,MonthNum,MonthName
2022-01-01,206,1,Sports,9,1681.07,718.24,0.4273,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,207,1,Beauty,20,1155.23,382.34,0.331,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,207,1,Electronics,14,15079.22,6110.49,0.4052,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,207,1,Fashion,19,2043.77,819.79,0.4011,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,207,1,Furniture,13,9349.59,3530.55,0.3776,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,207,1,Home Appliances,11,3776.87,1390.78,0.3682,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,207,1,Office Supplies,8,362.63,135.94,0.3749,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,207,1,Sports,10,2166.83,1137.74,0.5251,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,208,1,Beauty,2,192.52,70.0,0.3636,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,208,1,Electronics,31,30354.94,12473.87,0.4109,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,208,1,Fashion,20,1513.61,650.66,0.4299,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,208,1,Furniture,12,7121.51,2744.84,0.3854,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,208,1,Grocery,19,578.72,214.26,0.3702,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,208,1,Home Appliances,41,21833.22,8184.74,0.3749,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,208,1,Office Supplies,9,360.65,163.52,0.4534,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,208,1,Sports,22,4139.95,1593.5,0.3849,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,209,1,Beauty,16,338.56,154.34,0.4559,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,209,1,Electronics,10,9553.87,3674.4,0.3846,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,209,1,Fashion,16,1126.78,389.46,0.3456,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,209,1,Furniture,15,10942.1,3862.13,0.353,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,209,1,Grocery,5,70.26,31.88,0.4537,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,209,1,Home Appliances,7,3925.89,1648.23,0.4198,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,209,1,Office Supplies,17,674.39,286.87,0.4254,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,209,1,Sports,12,2262.02,967.11,0.4275,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,210,1,Beauty,9,574.05,191.48,0.3336,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,210,1,Electronics,32,19475.49,7797.38,0.4004,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,210,1,Fashion,17,1765.59,675.9,0.3828,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,210,1,Furniture,26,15709.73,4615.08,0.2938,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,210,1,Grocery,20,708.1,261.88,0.3698,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,210,1,Home Appliances,27,15257.92,5753.65,0.3771,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,210,1,Office Supplies,7,417.33,171.42,0.4108,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,210,1,Sports,15,3881.63,1633.07,0.4207,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,211,1,Beauty,15,555.05,202.77,0.3653,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,211,1,Electronics,38,37471.68,15471.57,0.4129,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,211,1,Fashion,14,1181.12,396.56,0.3357,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,211,1,Furniture,5,6917.33,3049.35,0.4408,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,211,1,Grocery,1,31.26,11.77,0.3765,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,211,1,Home Appliances,13,5426.87,1794.53,0.3307,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,211,1,Office Supplies,5,202.84,58.46,0.2882,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,211,1,Sports,4,643.77,262.67,0.408,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,212,1,Beauty,3,243.28,77.72,0.3195,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,212,1,Electronics,24,22401.58,7015.59,0.3132,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,212,1,Fashion,2,122.15,45.53,0.3727,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,212,1,Furniture,5,3087.75,967.59,0.3134,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,212,1,Grocery,12,364.72,153.29,0.4203,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,212,1,Home Appliances,13,6083.34,2166.48,0.3561,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,212,1,Office Supplies,24,839.33,375.78,0.4477,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,212,1,Sports,29,6304.32,2508.39,0.3979,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,213,1,Beauty,29,1391.0,540.42,0.3885,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,213,1,Electronics,17,9834.78,3518.27,0.3577,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,213,1,Fashion,25,1596.84,577.41,0.3616,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,213,1,Furniture,14,10026.96,2940.17,0.2932,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,213,1,Grocery,23,599.17,226.95,0.3788,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,213,1,Home Appliances,29,16393.65,6972.77,0.4253,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,213,1,Office Supplies,5,228.87,108.97,0.4761,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,213,1,Sports,44,6177.76,2859.49,0.4629,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,214,1,Beauty,16,802.96,274.43,0.3418,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,214,1,Electronics,13,19014.43,8037.87,0.4227,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,214,1,Fashion,18,2841.09,1494.52,0.526,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,214,1,Furniture,14,7542.32,3480.61,0.4615,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,214,1,Grocery,24,543.77,200.56,0.3688,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,214,1,Home Appliances,16,6137.52,2737.91,0.4461,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,214,1,Office Supplies,11,514.51,229.53,0.4461,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,214,1,Sports,35,5758.91,2572.57,0.4467,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,215,2,Beauty,45,2573.82,868.58,0.3375,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,215,2,Electronics,46,48286.26,18636.44,0.386,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,215,2,Fashion,25,2648.77,1096.35,0.4139,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,215,2,Furniture,50,36367.42,14379.44,0.3954,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,215,2,Grocery,15,350.2,126.03,0.3599,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,215,2,Home Appliances,44,25605.27,8973.06,0.3504,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,215,2,Office Supplies,27,1152.91,460.3,0.3993,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,215,2,Sports,37,7257.68,3468.35,0.4779,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,216,2,Beauty,18,1017.58,344.5,0.3385,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,216,2,Electronics,75,77037.31,32000.95,0.4154,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,216,2,Fashion,59,7524.78,2896.93,0.385,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,216,2,Furniture,27,11607.09,3957.94,0.341,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,216,2,Grocery,24,538.55,210.35,0.3906,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,216,2,Home Appliances,79,26263.46,11126.04,0.4236,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,216,2,Office Supplies,21,1164.67,415.43,0.3567,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,216,2,Sports,28,5090.36,2348.45,0.4614,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,217,2,Beauty,39,2480.78,709.56,0.286,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,217,2,Electronics,78,75516.04,29858.52,0.3954,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,217,2,Fashion,34,3963.31,1543.2,0.3894,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,217,2,Furniture,33,19911.33,7711.75,0.3873,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,217,2,Grocery,12,214.24,70.54,0.3293,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,217,2,Home Appliances,44,12383.02,5022.3,0.4056,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,217,2,Office Supplies,8,366.69,147.02,0.4009,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,217,2,Sports,16,3435.6,1478.59,0.4304,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,218,3,Beauty,87,4202.95,1629.59,0.3877,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,218,3,Electronics,257,299500.02,108997.44,0.3639,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,218,3,Fashion,141,15106.32,5182.23,0.3431,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,218,3,Furniture,252,167158.28,71672.35,0.4288,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,218,3,Grocery,308,8490.26,3031.12,0.357,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,218,3,Home Appliances,463,229395.62,90845.69,0.396,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,218,3,Office Supplies,302,12664.33,4748.15,0.3749,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,218,3,Sports,173,31304.18,12659.9,0.4044,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,219,3,Beauty,127,5836.08,2344.99,0.4018,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,219,3,Electronics,222,255140.23,90456.26,0.3545,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,219,3,Fashion,190,15362.37,5695.88,0.3708,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,219,3,Furniture,164,104998.36,28525.8,0.2717,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,219,3,Grocery,303,6651.34,2267.01,0.3408,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,219,3,Home Appliances,203,90309.35,32875.19,0.364,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,219,3,Office Supplies,257,10338.17,4047.51,0.3915,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,219,3,Sports,244,42742.43,17029.36,0.3984,Baseline,Regional Director,2022,FQ4,2022,1,January
2022-01-01,220,4,Beauty,52,2867.42,1080.08,0.3767,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,220,4,Electronics,64,69414.05,32336.22,0.4658,Baseline,Finance Ops,2022,FQ4,2022,1,January
2022-01-01,220,4,Fashion,53,5861.94,2377.24,0.4055,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,220,4,Furniture,38,20838.62,8342.24,0.4003,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,220,4,Grocery,21,399.09,151.88,0.3806,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,220,4,Home Appliances,45,19691.64,7297.02,0.3706,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,220,4,Office Supplies,45,1741.07,617.46,0.3546,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-01-01,220,4,Sports,41,6059.13,2193.62,0.362,Baseline,Commercial Planning,2022,FQ4,2022,1,January
2022-02-01,201,1,Beauty,20,1144.94,480.95,0.4201,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,201,1,Electronics,1,1496.02,465.6,0.3112,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,201,1,Fashion,20,1175.0,505.26,0.43,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,201,1,Furniture,10,11067.65,4146.42,0.3746,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,201,1,Grocery,9,235.4,97.19,0.4129,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,201,1,Home Appliances,1,197.48,104.76,0.5305,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,201,1,Office Supplies,13,718.47,314.1,0.4372,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,201,1,Sports,18,3279.02,1106.34,0.3374,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,202,1,Beauty,4,250.4,60.24,0.2406,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,202,1,Electronics,26,35446.96,13001.76,0.3668,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,202,1,Fashion,20,1152.69,360.93,0.3131,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,202,1,Furniture,12,9666.61,2997.2,0.3101,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,202,1,Grocery,11,78.68,38.31,0.4869,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,202,1,Home Appliances,7,4382.52,1736.99,0.3963,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,202,1,Office Supplies,9,509.39,209.38,0.411,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,202,1,Sports,23,3368.67,1425.8,0.4233,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,203,1,Beauty,11,647.49,215.01,0.3321,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,203,1,Electronics,11,12164.06,6374.52,0.524,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,203,1,Fashion,22,1369.87,641.4,0.4682,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,203,1,Furniture,22,9707.77,3804.02,0.3919,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,203,1,Grocery,13,370.93,156.48,0.4219,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,203,1,Home Appliances,20,6698.28,2743.18,0.4095,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,203,1,Office Supplies,16,522.24,204.97,0.3925,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,203,1,Sports,14,1251.96,556.34,0.4444,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,204,1,Beauty,18,944.9,366.8,0.3882,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,204,1,Electronics,17,19271.39,8668.28,0.4498,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,204,1,Fashion,20,1863.38,691.24,0.371,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,204,1,Furniture,15,12397.08,4829.33,0.3896,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,204,1,Grocery,39,775.91,331.64,0.4274,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,204,1,Home Appliances,25,9690.24,3965.4,0.4092,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,204,1,Office Supplies,24,1300.33,546.36,0.4202,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,204,1,Sports,25,3377.4,1333.22,0.3947,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,205,1,Beauty,26,1272.28,528.13,0.4151,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,205,1,Electronics,19,19876.38,9130.35,0.4594,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,205,1,Fashion,12,1676.59,583.21,0.3479,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,205,1,Furniture,3,1825.41,699.54,0.3832,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,205,1,Grocery,3,57.03,27.03,0.474,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,205,1,Home Appliances,18,8595.14,3554.93,0.4136,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,205,1,Office Supplies,14,920.64,387.62,0.421,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,205,1,Sports,3,427.88,185.58,0.4337,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,206,1,Beauty,13,532.38,182.75,0.3433,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,206,1,Electronics,9,10262.55,4361.19,0.425,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,206,1,Fashion,12,1139.38,428.72,0.3763,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,206,1,Furniture,23,10495.0,4750.65,0.4527,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,206,1,Grocery,10,283.9,113.1,0.3984,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,206,1,Home Appliances,8,3355.77,1548.85,0.4615,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,206,1,Office Supplies,7,223.69,96.78,0.4327,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,206,1,Sports,12,1002.35,287.11,0.2864,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,207,1,Beauty,43,3018.38,1033.32,0.3423,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,207,1,Electronics,20,25368.88,10427.17,0.411,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,207,1,Fashion,6,511.34,183.0,0.3579,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,207,1,Furniture,3,2800.5,845.23,0.3018,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,207,1,Grocery,4,145.4,62.49,0.4298,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,207,1,Home Appliances,22,7885.45,2932.32,0.3719,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,207,1,Office Supplies,22,1165.18,479.27,0.4113,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,207,1,Sports,23,4842.78,1664.09,0.3436,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,208,1,Beauty,6,371.01,154.01,0.4151,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,208,1,Electronics,27,21381.86,7940.35,0.3714,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,208,1,Fashion,32,3149.63,1462.26,0.4643,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,208,1,Furniture,22,8048.56,2578.52,0.3204,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,208,1,Grocery,11,242.03,101.8,0.4206,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,208,1,Home Appliances,32,17183.09,7093.22,0.4128,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,208,1,Office Supplies,3,178.74,64.5,0.3609,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,208,1,Sports,30,5369.23,2561.86,0.4771,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,209,1,Beauty,19,895.64,301.04,0.3361,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,209,1,Electronics,15,16863.42,6640.3,0.3938,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,209,1,Fashion,19,1358.8,626.38,0.461,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,209,1,Furniture,28,18325.56,6804.37,0.3713,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,209,1,Grocery,25,429.62,176.13,0.41,Baseline,Regional Director,2022,FQ4,2022,2,February
2022-02-01,209,1,Home Appliances,6,3253.99,1221.59,0.3754,Baseline,Commercial Planning,2022,FQ4,2022,2,February
2022-02-01,209,1,Office Supplies,16,874.47,382.72,0.4377,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,209,1,Sports,9,1379.39,704.55,0.5108,Baseline,Finance Ops,2022,FQ4,2022,2,February
2022-02-01,210,1,Beauty,21,772.7,309.78,0.4009,Baseline,Regional Director,2022,FQ4,2022,2,February
