SalesLineKey,OrderID,OrderLineNo,OrderDate,ShipDate,InvoiceDate,ReturnDate,CustomerKey,ProductKey,StoreKey,SalespersonKey,PromotionKey,ChannelKey,SalesRegion,Country,CustomerSegment,OrderPriority,PaymentMethod,ProductCategory,ProductSubcategory,Units,UnitPrice,ListPrice,DiscountPct,GrossSales,DiscountAmount,NetSales,COGS,GrossProfit,TaxAmount,FreightAmount,ReturnedFlag,OnTimeShipFlag,DemandIndex
34,ORD-20220101-000034,1,2022-01-01,2022-01-01,2022-01-02,,8713,1122,212,452,301,1,South,USA,Small Business,Medium,Card,Sports,Fitness,1,81.65,83.61,0.08,81.65,6.53,75.12,49.03,26.09,5.45,0.0,0,1,73.9
35,ORD-20220101-000035,1,2022-01-01,2022-01-03,2022-01-02,,7957,1134,219,442,308,3,South,USA,Consumer,Low,Card,Sports,Athleisure,25,157.78,158.45,0.1,3944.5,394.45,3550.05,1980.93,1569.12,142.0,57.9,0,1,66.2
36,ORD-20220101-000036,1,2022-01-01,2022-01-02,2022-01-01,,9336,1079,210,456,0,1,West,USA,Home Office,High,Card,Fashion,Men Apparel,4,83.57,78.98,0.0,334.28,0.0,334.28,229.45,104.83,24.24,0.0,0,1,62.8
37,ORD-20220101-000037,1,2022-01-01,2022-01-02,2022-01-02,,5826,1153,207,418,0,1,North,USA,Corporate,Medium,Card,Beauty,Makeup,2,11.48,10.65,0.0,22.96,0.0,22.96,11.63,11.33,1.66,0.0,0,1,65.3
38,ORD-20220101-000038,1,2022-01-01,2022-01-04,2022-01-01,,6558,1155,217,404,301,2,North,USA,Small Business,Critical,Card,Beauty,Personal Care,1,30.17,31.28,0.07,30.17,2.11,28.06,17.54,10.52,2.03,6.95,0,0,71.1
39,ORD-20220101-000039,1,2022-01-01,2022-01-03,2022-01-01,,6482,1006,212,405,301,1,South,USA,Home Office,Medium,Wallet,Electronics,Laptop,4,1541.06,1614.17,0.07,6164.24,431.5,5732.74,3830.09,1902.65,415.62,0.0,0,1,72.2
40,ORD-20220101-000040,1,2022-01-01,2022-01-03,2022-01-02,,8727,1091,216,439,301,2,East,USA,Corporate,High,Card,Fashion,Women Apparel,5,152.79,163.02,0.07,763.95,53.48,710.47,463.2,247.27,51.51,6.21,0,1,67.7
41,ORD-20220102-000041,1,2022-01-02,2022-01-06,2022-01-02,,8079,1016,219,438,306,3,South,USA,Consumer,High,Card,Electronics,Phone,20,1173.51,1236.92,0.09,23470.2,2112.32,21357.88,11305.21,10052.67,854.32,47.6,0,1,56.6
42,ORD-20220102-000042,1,2022-01-02,2022-01-02,2022-01-02,,7306,1113,214,417,0,1,West,USA,Small Business,Critical,Wallet,Grocery,Staples,1,28.6,29.21,0.0,28.6,0.0,28.6,17.8,10.8,2.07,0.0,0,1,70.6
43,ORD-20220102-000043,1,2022-01-02,2022-01-03,2022-01-03,,7004,1077,216,458,301,2,East,USA,Small Business,High,Card,Furniture,Bedroom,2,368.08,375.74,0.07,736.16,51.53,684.63,430.4,254.23,49.64,7.83,0,1,65.8
44,ORD-20220102-000044,1,2022-01-02,2022-01-03,2022-01-04,,8677,1073,215,432,301,2,South,USA,Consumer,Medium,Wallet,Furniture,Bedroom,6,1262.73,1175.91,0.06,7576.38,454.58,7121.8,3949.94,3171.86,516.33,8.03,0,1,66.0
45,ORD-20220102-000045,1,2022-01-02,2022-01-05,2022-01-03,,5440,1176,211,447,301,1,East,USA,Consumer,Medium,Bank Transfer,Office Supplies,Storage,2,55.64,57.71,0.08,111.28,8.9,102.38,73.6,28.78,7.42,0.0,0,0,56.3
46,ORD-20220102-000046,1,2022-01-02,2022-01-04,2022-01-02,,5510,1008,215,410,301,2,South,USA,Small Business,Medium,Wallet,Electronics,Tablet,1,1178.49,1260.07,0.08,1178.49,94.28,1084.21,851.59,232.62,78.61,6.81,0,1,70.8
47,ORD-20220102-000047,1,2022-01-02,2022-01-05,2022-01-03,,8406,1060,204,425,0,1,South,USA,Consumer,Medium,Cash,Furniture,Office Furniture,1,1078.54,1056.95,0.02,1078.54,21.57,1056.97,722.28,334.69,76.63,0.0,0,0,55.2
48,ORD-20220102-000048,1,2022-01-02,2022-01-03,2022-01-03,,7369,1129,216,443,0,2,East,USA,Consumer,Medium,Bank Transfer,Sports,Outdoor,3,136.85,141.44,0.0,410.55,0.0,410.55,195.13,215.42,29.76,8.73,0,1,57.6
49,ORD-20220102-000049,1,2022-01-02,2022-01-04,2022-01-02,2022-01-26,5656,1030,210,406,0,1,West,USA,Consumer,Medium,Card,Home Appliances,Kitchen,1,710.16,770.3,0.0,710.16,0.0,710.16,542.04,168.12,51.49,0.0,1,1,74.2
50,ORD-20220102-000050,1,2022-01-02,2022-01-04,2022-01-04,,9888,1162,208,410,301,1,East,USA,Small Business,Medium,Wallet,Office Supplies,Paper,1,23.27,24.49,0.09,23.27,2.09,21.18,12.77,8.41,1.54,0.0,0,1,71.2
51,ORD-20220102-000051,1,2022-01-02,2022-01-02,2022-01-02,,5088,1150,201,434,301,1,South,USA,Consumer,Low,Wallet,Beauty,Makeup,2,62.0,66.58,0.08,124.0,9.92,114.08,89.98,24.1,8.27,0.0,0,1,55.0
52,ORD-20220102-000052,1,2022-01-02,2022-01-05,2022-01-02,,6615,1182,219,404,306,3,South,USA,Consumer,Medium,Net Terms,Office Supplies,Storage,15,57.17,62.13,0.07,857.55,60.03,797.52,643.35,154.17,31.9,26.11,0,1,66.8
53,ORD-20220102-000053,1,2022-01-02,2022-01-04,2022-01-02,,7242,1026,201,442,301,1,South,USA,Consumer,Medium,Card,Electronics,Audio,1,840.97,874.48,0.08,840.97,67.28,773.69,565.96,207.73,56.09,0.0,0,1,56.3
54,ORD-20220102-000054,1,2022-01-02,2022-01-02,2022-01-03,,8507,1165,206,424,0,1,South,USA,Consumer,Medium,Wallet,Office Supplies,Paper,2,81.74,76.71,0.0,163.48,0.0,163.48,87.71,75.77,11.85,0.0,0,1,64.2
55,ORD-20220102-000055,1,2022-01-02,2022-01-02,2022-01-02,,7777,1113,205,406,301,1,South,USA,Home Office,Medium,Card,Grocery,Staples,2,29.09,28.95,0.05,58.18,2.91,55.27,35.41,19.86,4.01,0.0,0,1,61.8
56,ORD-20220102-000056,1,2022-01-02,2022-01-05,2022-01-03,,5890,1004,219,458,301,3,South,USA,Small Business,Medium,Bank Transfer,Electronics,Laptop,20,1906.53,1786.89,0.07,38130.6,2669.14,35461.46,23148.15,12313.31,1418.46,42.68,0,1,62.2
57,ORD-20220102-000057,1,2022-01-02,2022-01-06,2022-01-03,,8876,1127,217,422,0,2,North,USA,Home Office,Medium,Card,Sports,Outdoor,3,232.71,216.6,0.02,698.13,13.96,684.17,301.1,383.07,49.6,4.26,0,0,56.6
58,ORD-20220102-000058,1,2022-01-02,2022-01-04,2022-01-03,,8953,1010,216,457,301,2,East,USA,Corporate,Critical,Card,Electronics,Tablet,3,527.18,536.92,0.08,1581.54,126.52,1455.02,781.31,673.71,105.49,11.55,0,1,60.8
59,ORD-20220102-000059,1,2022-01-02,2022-01-07,2022-01-03,,5609,1163,218,423,306,3,North,USA,Corporate,Medium,Net Terms,Office Supplies,Paper,15,32.09,30.03,0.06,481.35,28.88,452.47,294.56,157.91,18.1,17.05,0,0,72.4
60,ORD-20220102-000060,1,2022-01-02,2022-01-05,2022-01-02,,9891,1124,218,460,306,3,North,USA,Consumer,Low,Card,Sports,Fitness,4,118.01,124.16,0.07,472.04,33.04,439.0,310.25,128.75,17.56,3.93,0,1,65.7
61,ORD-20220102-000061,1,2022-01-02,2022-01-04,2022-01-02,,9535,1013,205,425,0,1,South,USA,Home Office,High,Bank Transfer,Electronics,Tablet,10,1130.95,1111.19,0.02,11309.5,226.19,11083.31,7521.68,3561.63,803.54,0.0,0,1,65.1
62,ORD-20220102-000062,1,2022-01-02,2022-01-05,2022-01-03,2022-02-01,9545,1020,216,433,0,2,East,USA,Corporate,Medium,Card,Electronics,Phone,8,319.91,318.69,0.0,2559.28,0.0,2559.28,1296.55,1262.73,185.55,3.17,1,0,60.8
63,ORD-20220102-000063,1,2022-01-02,2022-01-04,2022-01-02,,5885,1108,219,418,306,3,South,USA,Small Business,Medium,Net Terms,Grocery,Snacks,40,14.38,14.66,0.1,575.2,57.52,517.68,313.03,204.65,20.71,32.21,0,1,69.8
64,ORD-20220102-000064,1,2022-01-02,2022-01-05,2022-01-03,,8644,1015,220,408,301,4,North,USA,Consumer,Medium,Card,Electronics,Phone,3,1827.25,1752.18,0.07,5481.75,383.72,5098.03,2897.76,2200.27,369.61,3.91,0,1,63.2
65,ORD-20220102-000065,1,2022-01-02,2022-01-05,2022-01-03,,9587,1092,220,417,0,4,North,USA,Consumer,Medium,Card,Fashion,Footwear,1,36.27,38.01,0.0,36.27,0.0,36.27,19.01,17.26,2.63,8.17,0,1,68.5
66,ORD-20220102-000066,1,2022-01-02,2022-01-03,2022-01-02,,7122,1110,202,435,301,1,West,USA,Home Office,Medium,Card,Grocery,Snacks,1,9.63,10.07,0.05,9.63,0.48,9.15,5.41,3.74,0.66,0.0,0,1,73.0
67,ORD-20220102-000067,1,2022-01-02,2022-01-02,2022-01-04,,7567,1134,202,447,0,1,West,USA,Home Office,Medium,Wallet,Sports,Athleisure,1,173.04,164.57,0.0,173.04,0.0,173.04,82.69,90.35,12.55,0.0,0,1,55.9
68,ORD-20220102-000068,1,2022-01-02,2022-01-05,2022-01-04,,6837,1028,216,455,301,2,East,USA,Consumer,High,Wallet,Electronics,Audio,3,1112.04,1171.59,0.07,3336.12,233.53,3102.59,2064.19,1038.4,224.94,11.37,0,0,57.7
69,ORD-20220102-000069,1,2022-01-02,2022-01-05,2022-01-02,,7369,1139,219,432,301,3,South,USA,Consumer,Medium,Wallet,Sports,Athleisure,15,69.5,73.16,0.06,1042.5,62.55,979.95,517.99,461.96,39.2,35.21,0,1,71.2
70,ORD-20220102-000070,1,2022-01-02,2022-01-05,2022-01-03,,9935,1016,215,437,0,2,South,USA,Home Office,High,Card,Electronics,Phone,3,1270.67,1244.31,0.0,3812.01,0.0,3812.01,1765.79,2046.22,276.37,8.01,0,0,62.0
71,ORD-20220102-000071,1,2022-01-02,2022-01-04,2022-01-04,,8262,1104,216,411,301,2,East,USA,Small Business,Medium,Net Terms,Grocery,Beverages,7,24.77,24.11,0.09,173.39,15.61,157.78,116.09,41.69,11.44,9.58,0,1,57.2
72,ORD-20220102-000072,1,2022-01-02,2022-01-06,2022-01-04,,8934,1051,218,423,306,3,North,USA,Small Business,Medium,Card,Home Appliances,Laundry,30,723.32,768.53,0.11,21699.6,2386.96,19312.64,13739.13,5573.51,772.51,71.04,0,1,54.9
73,ORD-20220102-000073,1,2022-01-02,2022-01-04,2022-01-02,,7449,1051,204,444,301,1,South,USA,Small Business,Medium,Wallet,Home Appliances,Laundry,3,803.14,757.74,0.08,2409.42,192.75,2216.67,1432.71,783.96,160.71,0.0,0,1,63.9
74,ORD-20220102-000074,1,2022-01-02,2022-01-06,2022-01-03,,7238,1079,218,405,0,3,North,USA,Consumer,High,Net Terms,Fashion,Men Apparel,25,74.19,78.2,0.01,1854.75,18.55,1836.2,1437.25,398.95,73.45,40.24,0,1,55.8
75,ORD-20220102-000075,1,2022-01-02,2022-01-03,2022-01-02,,9647,1171,202,426,301,1,West,USA,Consumer,Medium,Card,Office Supplies,Writing,3,69.25,73.43,0.08,207.75,16.62,191.13,125.68,65.45,13.86,0.0,0,1,65.9
76,ORD-20220102-000076,1,2022-01-02,2022-01-05,2022-01-02,,5741,1076,204,432,301,1,South,USA,Consumer,Medium,Card,Furniture,Bedroom,2,991.13,957.65,0.06,1982.26,118.94,1863.32,1118.3,745.02,135.09,0.0,0,0,58.4
77,ORD-20220102-000077,1,2022-01-02,2022-01-02,2022-01-03,,8815,1082,205,425,301,1,South,USA,Consumer,High,Card,Fashion,Men Apparel,2,35.02,37.11,0.07,70.04,4.9,65.14,46.82,18.32,4.72,0.0,0,1,64.5
78,ORD-20220102-000078,1,2022-01-02,2022-01-05,2022-01-04,,8948,1168,219,420,0,3,South,USA,Consumer,Medium,Card,Office Supplies,Paper,30,43.47,45.72,0.0,1304.1,0.0,1304.1,910.47,393.63,52.16,61.13,0,1,72.1
79,ORD-20220102-000079,1,2022-01-02,2022-01-03,2022-01-02,,8575,1075,204,401,301,1,South,USA,Consumer,Medium,Wallet,Furniture,Bedroom,12,229.14,216.33,0.07,2749.68,192.48,2557.2,1216.35,1340.85,185.4,0.0,0,1,64.7
80,ORD-20220103-000080,1,2022-01-03,2022-01-04,2022-01-03,,8884,1015,206,420,0,1,South,USA,Corporate,High,Card,Electronics,Phone,3,1898.98,1804.25,0.0,5696.94,0.0,5696.94,2881.04,2815.9,413.03,0.0,0,1,67.8
81,ORD-20220103-000081,1,2022-01-03,2022-01-04,2022-01-03,,7921,1026,220,401,0,4,North,USA,Consumer,Medium,Net Terms,Electronics,Audio,2,824.66,846.97,0.0,1649.32,0.0,1649.32,1132.67,516.65,119.58,4.52,0,1,56.7
82,ORD-20220103-000082,1,2022-01-03,2022-01-05,2022-01-03,,6601,1173,212,417,0,1,South,USA,Consumer,Medium,Net Terms,Office Supplies,Writing,3,47.24,49.77,0.0,141.72,0.0,141.72,78.44,63.28,10.27,0.0,0,1,72.1
83,ORD-20220103-000083,1,2022-01-03,2022-01-04,2022-01-03,,9589,1091,216,439,0,2,East,USA,Consumer,Medium,Cash,Fashion,Women Apparel,3,166.09,169.27,0.0,498.27,0.0,498.27,279.66,218.61,36.12,4.82,0,1,74.0
84,ORD-20220103-000084,1,2022-01-03,2022-01-06,2022-01-04,,9847,1133,216,424,0,2,East,USA,Small Business,Medium,Cash,Sports,Outdoor,1,280.78,295.86,0.0,280.78,0.0,280.78,174.71,106.07,20.36,4.08,0,0,73.4
85,ORD-20220103-000085,1,2022-01-03,2022-01-05,2022-01-05,,9318,1044,216,420,301,2,East,USA,Consumer,Medium,Wallet,Home Appliances,Cooling,4,282.92,274.44,0.09,1131.68,101.85,1029.83,538.46,491.37,74.66,10.84,0,1,73.3
86,ORD-20220103-000086,1,2022-01-03,2022-01-04,2022-01-03,,8851,1027,217,406,0,2,North,USA,Consumer,Medium,Card,Electronics,Audio,2,1202.69,1203.03,0.0,2405.38,0.0,2405.38,1373.73,1031.65,174.39,3.28,0,1,57.1
87,ORD-20220103-000087,1,2022-01-03,2022-01-03,2022-01-04,,9209,1073,213,404,0,1,North,USA,Small Business,High,Wallet,Furniture,Bedroom,1,1151.64,1166.79,0.01,1151.64,11.52,1140.12,650.5,489.62,82.66,0.0,0,1,69.4
88,ORD-20220103-000088,1,2022-01-03,2022-01-05,2022-01-03,,5148,1085,217,445,0,2,North,USA,Consumer,Medium,Card,Fashion,Women Apparel,6,109.26,116.47,0.0,655.56,0.0,655.56,381.47,274.09,47.53,7.15,0,1,60.1
89,ORD-20220103-000089,1,2022-01-03,2022-01-05,2022-01-03,,9520,1119,203,402,0,1,West,USA,Small Business,High,Card,Grocery,Staples,5,27.31,29.22,0.0,136.55,0.0,136.55,102.95,33.6,9.9,0.0,0,1,72.3
90,ORD-20220103-000090,1,2022-01-03,2022-01-05,2022-01-04,,8891,1163,215,421,0,2,South,USA,Consumer,Medium,Card,Office Supplies,Paper,2,31.16,29.96,0.0,62.32,0.0,62.32,39.37,22.95,4.52,3.13,0,1,55.0
91,ORD-20220103-000091,1,2022-01-03,2022-01-05,2022-01-03,,7393,1166,202,434,301,1,West,USA,Consumer,High,Net Terms,Office Supplies,Paper,2,35.57,35.52,0.08,71.14,5.69,65.45,33.19,32.26,4.75,0.0,0,1,68.2
92,ORD-20220103-000092,1,2022-01-03,2022-01-03,2022-01-04,,9551,1025,216,403,301,2,East,USA,Consumer,Medium,Card,Electronics,Audio,1,1111.5,1190.89,0.09,1111.5,100.04,1011.46,881.47,129.99,73.33,5.42,0,1,66.3
93,ORD-20220103-000093,1,2022-01-03,2022-01-04,2022-01-04,,7824,1157,201,453,0,1,South,USA,Corporate,High,Card,Beauty,Personal Care,3,43.3,42.11,0.0,129.9,0.0,129.9,68.3,61.6,9.42,0.0,0,1,65.9
94,ORD-20220103-000094,1,2022-01-03,2022-01-05,2022-01-04,,5932,1127,205,413,301,1,South,USA,Consumer,Low,Card,Sports,Outdoor,4,229.9,221.72,0.06,919.6,55.18,864.42,412.9,451.52,62.67,0.0,0,1,67.2
95,ORD-20220103-000095,1,2022-01-03,2022-01-04,2022-01-03,,7055,1018,204,433,0,1,South,USA,Consumer,Medium,Card,Electronics,Phone,1,536.8,573.44,0.0,536.8,0.0,536.8,354.3,182.5,38.92,0.0,0,1,54.9
96,ORD-20220103-000096,1,2022-01-03,2022-01-04,2022-01-04,,9052,1081,209,432,0,1,East,USA,Small Business,Medium,Cash,Fashion,Men Apparel,4,72.05,72.09,0.0,288.2,0.0,288.2,185.59,102.61,20.89,0.0,0,1,66.5
97,ORD-20220103-000097,1,2022-01-03,2022-01-07,2022-01-05,,8256,1150,219,454,0,3,South,USA,Home Office,Low,Card,Beauty,Makeup,8,62.72,65.28,0.01,501.76,5.02,496.74,363.18,133.56,19.87,18.04,0,1,65.6
98,ORD-20220103-000098,1,2022-01-03,2022-01-05,2022-01-03,,9673,1107,210,440,0,1,West,USA,Consumer,Medium,Card,Grocery,Snacks,6,42.38,44.57,0.0,254.28,0.0,254.28,156.16,98.12,18.44,0.0,0,1,73.7
99,ORD-20220103-000099,1,2022-01-03,2022-01-06,2022-01-03,,9439,1080,220,439,301,4,North,USA,Consumer,Low,Card,Fashion,Men Apparel,2,165.04,169.93,0.09,330.08,29.71,300.37,158.98,141.39,21.78,3.51,0,1,67.1
100,ORD-20220103-000100,1,2022-01-03,2022-01-04,2022-01-05,,6253,1094,220,429,301,4,North,USA,Small Business,Critical,Card,Fashion,Footwear,3,126.97,131.38,0.05,380.91,19.05,361.86,221.33,140.53,26.23,5.95,0,1,59.3
101,ORD-20220103-000101,1,2022-01-03,2022-01-06,2022-01-04,,7416,1180,217,401,301,2,North,USA,Corporate,Critical,Card,Office Supplies,Storage,2,48.31,50.35,0.09,96.62,8.7,87.92,64.94,22.98,6.37,8.14,0,0,57.4
102,ORD-20220103-000102,1,2022-01-03,2022-01-05,2022-01-04,,9473,1088,201,434,301,1,South,USA,Consumer,Medium,Card,Fashion,Women Apparel,6,86.89,93.98,0.08,521.34,41.71,479.63,403.21,76.42,34.77,0.0,0,1,59.3
103,ORD-20220103-000103,1,2022-01-03,2022-01-06,2022-01-03,,7859,1151,209,413,0,1,East,USA,Consumer,Medium,Card,Beauty,Makeup,3,53.49,56.18,0.02,160.47,3.21,157.26,86.6,70.66,11.4,0.0,0,0,68.7
